CMDLINE /Users/zhewang/anaconda3/envs/py39/bin/python obj.py
MEM 0.011719 1632342123.7098
MEM 15.894531 1632342123.8156
MEM 25.058594 1632342123.9250
MEM 37.523438 1632342124.0367
MEM 38.781250 1632342124.1437
MEM 39.195312 1632342124.2538
MEM 39.570312 1632342124.3615
MEM 39.804688 1632342124.4669
MEM 40.027344 1632342124.5763
MEM 40.257812 1632342124.6858
MEM 40.507812 1632342124.7958
MEM 41.332031 1632342124.9048
MEM 41.558594 1632342125.0114
MEM 41.800781 1632342125.1209
MEM 42.035156 1632342125.2275
MEM 42.273438 1632342125.3362
MEM 42.523438 1632342125.4465
MEM 42.785156 1632342125.5562
MEM 44.273438 1632342125.6637
MEM 44.519531 1632342125.7730
MEM 44.777344 1632342125.8796
MEM 45.015625 1632342125.9895
MEM 45.269531 1632342126.0992
MEM 45.480469 1632342126.2107
MEM 45.726562 1632342126.3214
MEM 45.988281 1632342126.4313
MEM 46.246094 1632342126.5412
MEM 46.500000 1632342126.6468
MEM 46.757812 1632342126.7570
MEM 47.007812 1632342126.8662
MEM 49.761719 1632342126.9728
MEM 50.015625 1632342127.0800
MEM 50.273438 1632342127.1891
MEM 50.535156 1632342127.2991
MEM 50.777344 1632342127.4092
MEM 51.007812 1632342127.5189
MEM 51.246094 1632342127.6286
MEM 51.480469 1632342127.7371
MEM 51.726562 1632342127.8454
MEM 51.984375 1632342127.9555
MEM 52.234375 1632342128.0623
MEM 52.449219 1632342128.1728
MEM 52.687500 1632342128.2789
MEM 52.945312 1632342128.3890
MEM 53.207031 1632342128.4981
MEM 53.468750 1632342128.6075
MEM 53.714844 1632342128.7176
MEM 53.953125 1632342128.8252
MEM 54.207031 1632342128.9348
MEM 54.453125 1632342129.0416
MEM 54.699219 1632342129.1500
MEM 54.933594 1632342129.2555
MEM 55.187500 1632342129.3632
MEM 55.335938 1632342129.4725
MEM 55.574219 1632342129.5815
MEM 60.824219 1632342129.6900
MEM 61.070312 1632342129.7971
MEM 61.324219 1632342129.9074
MEM 61.582031 1632342130.0177
MEM 61.828125 1632342130.1227
MEM 62.089844 1632342130.2328
MEM 62.335938 1632342130.3384
